Judul,Kata_Kunci,Tempat
Makna Simbolik Pengambilan Tirta Suci Pada Hari Raya Waisak di Desa Jatimulyo,"Raya Waisak, Tirta Suci, Makna Simbolik, Tradisi, Keyakinan",Desa Jatimulyo
Peran Komunikasi Intrapersonal Terhadap Self-Love Guna Menjaga Kesehatan Mental (Studi Kasus pada Remaja Buddhis di Vihara,"komunikasi intrapersonal, self-love, kesehatan mental",
Peran Tokoh Agama Buddha Dalam Penyampaian Dhamma Melalui Media Pertunjukan Wayang Orang Di Dusun Lamuk Desa Kali Manggis Kecamatan Kaloran Kabupaten Temanggung,"Tokoh Agama, Wayang Orang Dan Ajaran Buddha.",Dusun Lamuk Desa Kali Manggis Kecamatan Kaloran Kabupaten Temanggung
Strategi Pengembangan Desa Wisata Melalui Peningkatan Sumber Daya Manusia Desa Wisata Nglinggo Kabupaten Kulon Progo,"Pariwisata, Strategi Pengembangan, Desa Wisata, Sumber Daya Manusia Pengelola.",
Penguatan Pendidikan Karakter Melalui Gerakan Literasi Membaca di SD Bendosari,"Pengutan Pendidikan Karakter, Melalui Gerakan, Literasi, Membaca",SD Bendosari
Pemanfaatan Media Sosial Instagram Bagi Komunitas Ruang Edit,"Media Sosial, Instagram, Komunitas Ruang Edit",
Strategi Pengembangan Desa Wisata Paranggupito Melalui Pengelolaan Homestay,"Strategi, Pengembangan, Desa wisata, Homestay",
Analisis Penerapan Metode Pembelajaran Berbasis Karya Wisata dalam Meningkatkan Semangat Belajar Sekolah Minggu Buddha Sariputta,"Karya Wisata, Pembelajaran, Sekolah Minggu Buddha, Semangat Belajar",
Analisis Semiotika Komunikasi Roland Barthes Terhadap Problematika Kesetaraan Gender Dalam Film Gadis Kretek,"Semiotika, Roland Barthes, Film “Gadis Kretek”, Kesetaraan Gender",
Implementasi Tradisi Merti Desa Sebagai Wujud Bhakti dan Saddha Pada Umat Buddha Di Desa Kalimanggis Kecamatan Kaloran,"Tradisi, Bhakti dan Saddha, Umat Buddha",Desa Kalimanggis Kecamatan Kaloran
Makna Simbolik dan Nilai-Nilai Kesenian Jaran Kepang Wahyu Kridho Budoyo Di Dusun Lamuk Desa Kalimanggis Kecamatan Kaloran Kabupaten Temanggung (Analisis Semiotika Model Roland Barthes),"simbolik, Jaran Kepang, Tari",Dusun Lamuk Desa Kalimanggis Kecamatan Kaloran Kabupaten Temanggung (Analisis Semiotika Model Roland Barthes
Analisis Dampak Pemberian Reward Terhadap Motivasi Belajar Dalam Proses Pembelajaran Bahasa Inggris Kelas 4 SD Kanisius Wonogiri,"Pembelajaran, motivasi belajar, reward, bahasa inggris",SD Kanisius Wonogiri
Strategi Pengembangan Wisata Alam Hutan Mangrowe Kulon Progo Yang Ramah Lingkungan,"Pariwisata, Strategi Pengembangan, Hutan Mangrowe, Wisata Alam.",
"Pengaruh Attraction, Accessibility, Amenity, Ancillary Terhadap Kepuasan Wisatawan Dalam Berkunjung Ke Wisata Bukit Cinta Ambarawa","Attraction, Accessibility, Amenity, Ancillary",
Kontribusi CV. Mahkota Borobudur Pada Pengembangan Candi Borobudur Sebagai Wisata Religi,"Kontribusi, Pengembangan, Candi Borobudur, Wisata Religi",
Pengaruh Media Sosial Instagram Terhadap Gaya Hidup Konsumtif Remaja Putri Dusun Mlangse Kidul Desa Tubokarto Kecamatan Pracimantoro Wonogiri,"Media Sosial, Instagram, Gaya Hidup Konsumtif, Remaja Putri",
Komunikasi Politik Pada Pemilihan Presiden Indonesia Tahun 2024: Analisis Wacana Jingle Kampanye Prabowo-Gibran,"Komunikasi politik, jingle kampanye, analisis wacana, pemilihan presiden, prabowo-Gibran",
Makna sesajen dalam tradisi sedekah bumi dan relevansinya dengan konsep pattidana (studi kasus di desa tunahan kecamatan keling kabupaten jepara),"Makna, Sesajen, Sedekah Bumi, Pattidana",desa tunahan kecamatan keling kabupaten jepara
Analisis Komunikasi Persuasif Pengguna Aplikasi Tiktok Terhadap Perilaku Konsumtif Remaja di Dusun Godang Desa Karangsari Kecamatan Cluwak,"Komunikasi Persuasif, Aplikasi Tiktok, Perilaku Konsumtif Remaja",Dusun Godang Desa Karangsari Kecamatan Cluwak
Analisis Strategi Komunikasi Pemasaran dan Engagement Terhadap Minat Konsumen Melalui TikTok Pada Akun @infokulinerpati’,"Strategi komunikasi pemasaran, engagement, minat konsumen",
Strategi Membangun Personal Branding Prabowo-Gibran Melalui Konten Digital Marketing pada Pemilu Presiden Tahun 2024,"personal branding, Prabowo-Gibran, digital marketing, kampanye, politik, pemilu 2024.",
Pengembangan Modul Digital Kepenyuluhan Buddha,"Modul digital, Kepenyuluhan, Umat Buddha",
Komparasi Model Kepemimpinan Toyotomi Hideyoshi dan Ainz pada Animasi Overlord (Season IV) dalam Sudut Pandang Gibson,"kepemimpinan, Toyotomi Hideyoshi, Ainz Ooal Gown, anime Overlord, teori atribusi Gibson.",
Sinergi Forum Kerukunan Umat Beragama (FKUB) dan Forum Pemuda Lintas Agama (FPLA) dalam Mewujudkan Moderasi Beragama di Kabupaten Kulon Progo,"Sinergi, FKUB, FPLA, Moderasi Beragama",Kabupaten Kulon Progo
Rebranding dan Pemasaran OBI Belt Ecoprint Belaco Melalui Program Studi Independen Lacorre untuk Meningkatkan Ekspor Indonesia,"Rebranding, Obi Belt Ecoprint Belaco, zipper lock, PT Lacorre
Loka Maya.",
Pengaruh Student Enggagement Terhadap Comunication Skill Mahasiswa Pada Himpunan Jurusan Dharmaduta Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,"Keterlibatan Mahasiswa, Keterampilan Komunikasi, Dharmaduta, Mahasiswa",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya
Strategi Personal Branding Febriana P Devi (@fbreeana) Melalui Platform Lemon8 Dalam Membangun Citra Sebagai Fashion Influencer di Era Digital,"Personal branding, Influencer, Fashion, Lemon8.",
Pengaruh Komunikasi Interpersonal Terhadap Keberhasilan Negosiasi Antara Penjual dan Pembeli di Pasar Tradisional Wonogiri,"komunikasi interpersonal, pasar tradisional, Negosiasi",
Motivational Factors And Learning Enthusiasm: A Multi-Level Analysis In Buddhist Sunday Schools In Wonogiri Regency,"Student Motivation, Buddhist Education, Religious Learning, Intrinsic Motivation, Extrinsic Motivation",
Pengaruh Branding Politik Calon Gubernur Jawa Tengah Melalui Media Sosial Terhadap Persepsi Pemilih Muda di STABN Raden Wijaya Tahun 2024,"Branding Politik, Mahasiswa, Jawa Tengah",STABN Raden Wijaya
Perilaku Komunikasi Gen Z Pada Second Account di Media Instagram Studi Kasus Anggota Ikatan Mahasiswa Buddhis Universitas Sebelas Maret Surakarta,"Gen Z, media sosial, Second account",
Analisis Persepsi Konsumen Terhadap Keputusan Pembelian Brand Kecantikan Skintific Melalui Konten Influencer Tasya Farasya Di Media Sosial Tiktok,"Persepsi Konsumen, Keputusan Pembelian, TikTok, Skintific, Tasya
Farasya.",
Pengaruh Penggunaan Media Sosial Instagram Terhadap Perilaku Narsis di Kalangan Mahasiswa STABN Raden Wijaya,"Media sosial, Instagram, Perilaku narsis",STABN Raden Wijaya
Retorika Komunikasi Dalam Konten Edukasi Penyakit Menular Seksual Pada Akun Tiktok @dr.Amira.SpOG,"konten edukasi, Penyakit Menular Seksual, Retorika",
Efektivitas Model Pembelajaran Kooperatif Jigsaw dalam Meningkatkan Partisipasi Siswa Kelas Tiga pada Mata Pelajaran Pendidikan Pancasila di SDN 7 Wonogiri,"partisipasi, model pembelajaran, kooperatif jigsaw",SDN 7 Wonogiri
Menciptakan Eksportir Muda Melalui Rebranding dan Pemasaran Untuk Meningkatkan Ekspor Indonesia Pada Program Magang Studi Independen Bersertifikat Lacorre,"Sekolah Ekspor Lacorre, PT Lacorre Loka Maya (LaCorre), Digital Business Strategy, obi belt batik ecoprint.",
Analisis Pembiasaan Mindfulness dalam Mengawali Proses Pembelajaran Siswa Agama Buddha: Studi Kasus di Pusat Kegiatan Belajar Masyarakat (PKBM) Homeschooling Kusalamitra,"Pendidikan, Agama Buddha, Pembiasaan, Mindfulness",
Analisis Implementasi Pembelajaran Berdiferensiasi Pada Mata Pelajaran IPAS Kelas VI di SD Negeri 3 Getas,"Berdiferensiasi, Implementasi, IPAS, Pembelajaran",SD Negeri 3 Getas
Penerapan Model Pembelajaran Problem Based Learning Pada Materi Sayangi Seni dan Budaya Agama Buddha untuk Meningkatkan Keterampilan Komunikasi Siswa Kelas XI Pendidikan Agama Buddha di SMA N 1 Girimulyo,"Problem-Based Learning, keterampilan komunikasi, Pendidikan
Agama Buddha, Penelitian Tindakan Kelas, Seni dan Budaya Buddha.",SMA N 1 Girimulyo
"Dampak Objek Wisata Candi Mendut Terhadap Perekonomian Masyarakat Desa Mendut, Kecamatan Mungkid, Kabupaten Magelang","Candi Mendut, Masyarakat, Ekonomi, Usaha Pariwisata",
Dekonstruksi Stereotip Gender dalam Anime Jujutsu Kaisen: Representasi Perempuan di Genre Shounen,"Dekonstruksi, Stereotip Gender, Representasi Perempuan, Anime
Shounen, Jujutsu Kaisen.",
Analisis Pengembangan Pariwisata Berkelanjutan di Komplek Candi Arjuna Dieng Banjarnegara,"Pariwisata Berkelanjutan, SWOT, Komplek Candi Arjuna, Pengembangan Destinasi, Pemberdayaan Masyarakat",
Penerapan Metode Pembelajaran STEAM untuk Meningkatkan Keterampilan Berbicara Pada Mata Pelajaran Bahasa Indonesia Siswa Kelas V SD Negeri 1 Pokoh Kidul,"STEAM, keterampilan, berbicara, pembelajaran, Bahasa, Indonesia, sekolah dasar, Pembelajaran, berbasis proyek",SD Negeri 1 Pokoh Kidul
Analisis Peran Sarana dan Prasarana untuk Meningkatkan Toleransi dan Pendalaman Agama di Objek Wisata Religi Vihara Dhamma Sundara Solo,"Sarana, Prasarana, Toleransi, Pendalaman Agama, Wisata Religi, Vihara Dhamma Sundara Solo",Vihara Dhamma Sundara Solo
Gaya Komunikasi Kepemimpinan Organisasi Badan Eksekutif Mahasiswa (BEM) STAB Negeri Raden Wijaya Wonogiri Terhadap Produktivitas Organisasi,"Gaya Komunikasi, Kepemimpinan, Organisasi Mahasiswa, Produktivitas, BEM.",STAB Negeri Raden Wijaya Wonogiri
Tradisi Adat Wahyu Kliyu Sebagai Wisata Budaya dan Religi di Desa Kendal Kecamatan Jatipuro Kabupaten Karanganyar,"Tradisi, Adat, Wahyu Kliyu, Wisata Budaya dan Religi, Dampak Tradisi",Desa Kendal Kecamatan Jatipuro Kabupaten Karanganyar
Penerapan Aplikasi Duolingo untuk Meningkatkan Keaktifan Belajar Peserta Didik Pada Mata Pelajaran Bahasa Inggris Kelas IV SD Kanisius Wonogiri,"Keaktifan Belajar, Bahasa Inggris, Media Aplikasi Duolingo, Sekolah Dasar",SD Kanisius Wonogiri
Pengaruh Metode Role Playing Terhadap Pengembangan Keterampilan Kerjasama dan Komunikasi Pada Pembelajaran IPAS (Penelitian Tindakan Kelas Pada Siswa Kelas V di Sekolah Dasar Negeri 7 Wonogiri),"role playing, kerja sama, komunikasi, pembelajaran IPAS",
Penggunaan Media Pagorong untuk Membantu Meningkatkan Pemahaman Siswa pada Materi Gotong Royong Tahun Pelajaran 2024/2025 (Penelitian Pada Siswa Kelas 1 Sekolah Dasar Negeri 7 Wonogiri),"Media, Gotong Royong, Pemahaman Siswa, PPKn, Sekolah Dasar.",
Nilai - nilai edukasi melalui program magang studi Independent Bersertifikat pada PT. Laccorre,"Hammering, Steaming, dan Boiling., Bill of lading, Letter of Credit (LC), PT. LaCorre Loka Maya",
Pengembangan Media Sitasu Melalui Project Based Learning Mata Pelajaran IPAS,"Pengembangan, Media SITASU, Project Based Learning, IPAS",
Analisis Implementasi Kurikulum Merdeka Melalui Proyek Penguatan Profil Pelajar Pancasisla Kelas 4 di SD Negeri 1 Wonoboyo,"Kurikulum Merdeka, Profil Pelajar Pancasila, Implementasi
Proyek",SD Negeri 1 Wonoboyo
Strategi Pengembangan Objek Wisata Religi Masjid Gedhe Kauman Yogyakarta,"Strategi Pengembangan, Wisata religi, Masjid Gedhe Kauman
Yogyakarta, Fasilitas, Keterlibatan Masyarakat, Kajian kualitatif.",
Transformasi Fungsi Vihara Watugong Semarang Menjadi Objek Wisata Religi,"Pariwisata Religi, Transformasi Fungsi, Vihara Watugong, Dampak Ekonomi, Dampak Budaya.",Vihara Watugong Semarang Menjadi Objek Wisata Religi
Representasi Bahasa Isyarat dalam Film A Silent Voice (Analisis Gestur Tangan Terhadap Pola Komunikasi Antar Pribadi),"Film A Silent Voice, Gestur bahasa isyarat, Pola Komunikasi Antar
Pribadi.",
"Membangun Etika Komunikasi dan Sikap Toleransi Menurut Cunda Sutta (Analisis Deskriptif terhadap Peran Dharmaduta di Kecamatan Keling, Kabupaten Jepara)","Etika Komunikasi, Toleransi, Cunda Sutta, Dharmaduta","Kecamatan Keling, Kabupaten Jepara"
Pergeseran Bahasa Ngapak pada Mahasiswa Migran Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri,"Pergeseran bahasa, bahasa Jawa Ngapak, Mahasiswa migran",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri
Pengembangan Wisata Religi Candi Plaosan Berdasarkan Storynomics Tourism,"Wisata Religi, Candi Plaosan, Storynomics Tourism, Keterlibatan Masyarakat, Destinasi Wisata",
Analisis Penguatan Pendidikan Karakter Melalui Pembiasaan Berbahasa Jawa Krama Madya di SD Kanisius Wonogiri,"Kemandirian, pembiasaan, bahasa Jawa krama madya",SD Kanisius Wonogiri
Analisis Menu Bekal Siswa di Sekolah Terhadap Konsentrasi Belajar Siswa di SD Kanisius Wonogiri,"bekal siswa, konsentrasi belajar, makanan bergizi",SD Kanisius Wonogiri
Strategi Penyuluh Agama Buddha dalam Menguatkan Saddha menurut Prinsip Misionaris Pertama Buddha di Vihara Kassapa Kabupaten Semarang,"Tantangan, Strategi, Penyuluh Agama Buddha",Vihara Kassapa Kabupaten Semarang
Studi Komparatif Praktik Keagamaan Buddha (Theravada dan Tantrayana) di Desa Candigaron,"Ibadah, Buddha, Theravada, Tantrayana, Desa Candigaron.",Desa Candigaron
Pengaruh Komunikasi Intrapersonal Terhadap Kecenderungan Overthinking Mahasiswa Tingkat Akhir (Studi pada Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Tahun Akademik 2024/2025),"Komunikasi, Intrapersonal, Overthinking, Mahasiswa",
Penerapan Metode Kooperatif Learning Tipe Think Pair Share untuk Meningkatkan Hasil Belajar Siswa Pada Pelajaran Agama Buddha Materi Sopan Santun di SDN Kenteng 01,"Pendidikan Agama Buddha, Hasil Belajar, Metode Kooperatif, Think Pair Share, Penelitian Tindakan Kelas",SDN Kenteng 01
Analisis dampak wisata religi candi gedong songo terhadap ekonomi masyarakat lokal desa candi kecamatan bandungan kabupaten semarang,"Wisata Religi, Candi Gedong Songo, Ekonomi Lokal, Pemberdayaan Masyarakat",
Pengembangan Media Pembelajaran Berbasis Construct 3 Pembelajaran Bahasa jawa  Pada Siswa di SDN 1 Pelem,"Media Pembelajaran, Construct 3, Bhāṣāśāstra, Aksara Jawa, ADDIE, Hasil Belajar, N-Gain",SDN 1 Pelem
Kepercayaandan Praktik Masyarakat dalam Mendukung Wisata Religi di Sendang Siwani Wonogiri,"Kepercayaan, praktik masyarakat, warisan budaya, dampak wisata religi, Sendang Siwani",
Analisis Pola Komunikasi Keluarga dalam Membentuk Perilaku Sosial Anak (Studi Kasus: Desa Pokoh Kelurahan Wonoboyo Kabupaten Wonogiri),"communication, communication patterns, children’s social behavior, Dusun
Pokoh",
Analisis Pembelajaran Berbasis Powerpoint dan Relevansinya Terhadap Keaktifan Siswa pada Mata Pelajaran Pendidikan Agama Buddha di SMP N 2 Donorojo,"PowerPoint, keaktifan siswa, media pembelajaran.",SMP N 2 Donorojo
Dampak Program Dharmaduta Bergerak Terhadap Religiusitas Umat Buddha di Kabupaten Wonogiri,"Dampak, Dharmaduta Bergerak, Religiusitas, Umat Buddha, Wonogiri",Kabupaten Wonogiri
Pengaruh Motivasi Wisatawan Terhadap Daya Tarik dalam Mengunjungi Objek Wisata Religi Kelenteng Sam Poo Khong Semarang,"Motivasi Wisatawan, Daya Tarik Wisata, Wisata Religi, Kelenteng
Sam Poo Kong",
Analisis Komunikasi Interpersonal dalam Lingkungan Toksik Mahasiswa STABN Raden Wijaya,"Komunikasi Interpersonal, Lingkungan Toksik, Mahasiswa, Action
Assembly Theory, STABN Raden Wijaya",STABN Raden Wijaya
Peran Political Branding Pasangan Calon Gubernur dan Wakil Gubernur Jawa Tengah Ahmad Luthfie dan Tajyasin Maimoen Melalui Media Sosial Terhadap Persepsi Generasi Z (Analisis Survei pada Mahasiswa Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri Jawa Tengah),"Generasi Z, Media Sosial, Political Branding",
Analisis Pesan Moral Film Animasi The Spongebob Squarepants Movie (2004): Semiotika Charles Sanders Peirce,"Pesan moral, The SpongeBob SquarePants, Charles Sanders Peirce",
"Analisis Kesulitan Belajar Mata Pelajaran Ilmu Pengetahuan Alam dan Sosial (IPAS) Siswa Kelas IV SD Negeri 01 Pokoh Kidul, Wonogiri","Kesulitan belajar, Jenis kesulitan belajar, IPAS, Faktor internal, Faktor
eksternal",
Analisis Faktor-Faktor yang Mempengaruhi Berpikir Kritis Siswa dalam Mata Pelajaran Matematika Kelas V di SD Negeri o1 Pokoh Kidul,"Berpikir kritis, Pembelajaran matematika, Siswa sekolah dasar, Indikator Ennis",SD Negeri o1 Pokoh Kidul
Transformasi Tradisi Sedekah Bumi dalam Pandangan Masyarakat Umat Buddha Desa Damarwulan,"Tradisi, Sedekah Bumi, Pandangan umat buddha, Ritual, Desa Damarwulan",
Dampak Pembangunan Masjid Raya Sheikh Zayed Solo Terhadap Ekonomi Masyarakat Sekitar,"Masjid Raya Sheikh Zayed, ekonomi lokal, masyarakat sekitar, wisata
religi.",
Partisipasi Masyarakat Lokal dalam Pengembangan Objek Wisata Candi Plaosan Sebagai Wisata Religi,"Partisipasi masyarakat, pengembangan wisata, Candi Plaosan, usaha
pemerintah.",
Partisipasi Masyarakat Dalam Pelestarian Candi Mendut Sebagai Objek Wisata di Desa Mendut Kecamatan Mungkid Magelang,"Candi Mendut, Objek Wisata, Pelestarian, Partisipasi Masyarakat",Desa Mendut Kecamatan Mungkid Magelang
Dampak Kompleks Kawasan Wisata Candi Prambanan dalam Kehidupan Sosial Ekonomi Masyarakat Desa Bokoharjo Kecamatan Prambanan Yogyakarta,"Dampak Pariwisata, Sosial Ekonomi, Candi Prambanan, Bokoharjo",
Kolaborasi Antar Stakeholders dalam Pengembangan Pariwisata Religi di Kompleks Candi Arjuna Kabupaten Banjarnegara,"Pariwisata, Kolaborasi, Ekonomi, Lingkungan, Pengembangan",
Strategi Pemasaran Wisata Candi Ratu Boko dalam Upaya Meningkatkan Kunjungan Wisatawan,"Strategi Pemasaran, Bauran Pemasaran 4P, Candi Ratu Boko",
Upaya Meningkatkan Hasil Belajar Siswa dengan Menggunakan Media Video Reels pada Mata Pelajaran Pendidikan Agama Buddha Kelas VIIII di SMP Negeri 1 Getasan,"Hasil belajar, Video reels, Pendidikan Agama Buddha, Moralitas, Kalyanamitta.",SMP Negeri 1 Getasan
Dampak Kuliah Kerja Nyata Kolaborasi Moderasi Beragama Terhadap Kerukunan Masyarakat Di Dusun Sodong Kabupaten Ponorogo,"KKN kolaborasi, kerukunan, moderasi, multikultur.",Dusun Sodong Kabupaten Ponorogo
Penerapan Media Kartu Tempel untuk Meningkatkan Keterampilan Membaca pada Siswa Kelas 1 SD (Penelitian Tindakan Kelas di SD N 3 Wonoboyo),"Keterampilan, membaca, media, kartu tempel, kelas I",SD N 3 Wonoboyo
Analisis Nilai Spiritual Pada Objek Wisata Religi Taman Doa Gua Maria Pereng,,
Persepsi Mahasiswa Terhadap Etika Komunikasi Akun Gosip @Lambe_Turah di Media Sosial Instagram (Kajian Pada Mahasiswa Prodi Ilmu Komunikasi Sekolah Tinggi Agama Buddha Negeri (STABN)Raden Wijaya Wonogiri,"Etika komunikasi, persepsi mahasiswa, media sosial, akun gosip, @lambe_turah",
Kontribusi Penyuluh Agama Buddha Dalam Program Pelayanan Masyarakat Buddha Di Kabupaten Wonogiri,"Kontribusi, Penyuluh Agama Buddha, Pelayanan Masyarakat",Kabupaten Wonogiri
Strategi Branding Komunikasi Melalui Media Sosial Dalam Membangun Customer Engagement (Analisis pada Akun Instagram @puan.bymonica),"Strategi Branding Komunikasi, Instagram, Customer Engagement, Butik Fashion.",
Peningkatan Promosi Wisata Religi Klenteng HOK TIK BIO Blora Melalui Pengembangan Website,"wisata religi, klenteng, promosi digital, website, Blora",
Problematika Kesantunan Bahasa Dalam Komunikasi Anak dan Orang Tua (Kajian Pragmatik Geoffrey Leech),"Kesantunan, Berbahasa, Komunikasi, Pragmatik.",
Pola Komunikasi Hubungan Jarak Jauh Antara Orang Tua dan Anak Generasi Z di Media Whatsapp,"Pola Komunikasi, Generasi Z, WhatsApp, Orang Tua, Hubungan
Jarak Jauh",
Tradisi Petik Laut dalam Perspektif Umat Buddha di Desa Pesanggaran Kabupaten Banyuwangi: Makna dan Relevansinya,"Tradisi Petik Laut, Agama Buddha, Banyuwangi",Desa Pesanggaran Kabupaten Banyuwangi: Makna dan Relevansinya
Analisis Penerapan Media Pembelajaran Flashcard Dalam Meningkatkan Hasil Belajar Matematika Siswa Kelas 1 SD Dharma Mulia Kabupaten Semarang,"flashcard, hasil belajar, matematika, media pembelajaran",SD Dharma Mulia Kabupaten Semarang
Pengembangan Media Pop Up Book Pada Mata Pelajaran IPAS KelasV di Sekolah Dasar Negeri 3 Wonoboyo,"Pop Up Book, IPAS, Warisan Budaya Indonesia.",
Strategi Guru dalam Menerapkan Karakter Disiplin dan Tanggung jawab Melalui Pembelajaran Ilmu Pengetahuan Alam dan Sosial (IPAS) Kelas V di Sekolah Dasar Negeri 1 Wonogiri,"Disiplin, Tanggungjawab, IPAS",
Ekonomi Buddhis Sebagai Fondasi Kesejahteraan: Tinjauan Literatur Terhadap Prinsip Kesederhanaan dan Etika,"Ekonomi Buddhis, kesederhaan, etika, kesejahteraan.",
"Makna Filosofi Tradisi Ruwahan Kampung Pancasila Pancasila Kalurahan Jatimulyo, Kapanewon Girimulyo Kabupaten Kulon Progo","Tradisi Ruwahan, Makna Filosofis, Kearifan Lokal, Buddhisme, Pelestarian Budaya, Penghormatan Leluhur, Masyarakat Majemuk.",
Nilai-Nilai Upacara Palguno dalam Ajaran Buddha Djawi Wisnu Terhadap Moral Umat Buddha Kabupaten Banyuwangi,"Upacara Palguno, Budha Djawi Wisnu, nilai-nilai moral, tradisi
Jawa, Banyuwangi.",
Analisis Model Pengelolaan Pariwisata pada Objek Wisata Prasasti Sendang Kamal Sebagai Upaya Pelestarian Cagar Budaya di Kabupaten Magetan,"Prasasti Sendang Kamal, Pengelolaan Pariwisata, Pokdarwis, Cagar
Budaya",Kabupaten Magetan
Penerapan Model Pembelajaran Interaktif Berbasis Game Ular Tangga dalam Meningkatkan Minat Belajar Siswa Beragama Buddha di SDN Giling 01 (Penelitian Tindakan Kelas),"Pembelajaran interaktif, game, ular tangga, minat, belajar.",SDN Giling 01 (Penelitian Tindakan Kelas
Peran Media Sosial dalam Melestarikan Seni Tari Jaran Kepang di Dusun Mranggen Desa Tempuran Kecamatan Kaloran Kabupaten Temanggung,"Media Sosial, Pelestarian Budaya, Seni Tari Jaran Kepang",Dusun Mranggen Desa Tempuran Kecamatan Kaloran Kabupaten Temanggung
Makna Spiritual dan Filosofis Chattra pada Stupa Utama Candi Borobudur Ditinjau dari Lalitavistara Sutra,"Chattra, Lalitavistara Sutra, Hermeneutika, Makna Spiritual, Makna
Filosofis.",
Analisis Kegiatan Sosial Keagamaan dalam Mendorong Keyakinan Umat Buddha di Dusun Krajan,"Kegiatan Sosial Keagamaan, Keyakinan, Spiritualitas, Solidaritas, Umat Buddha.",Dusun Krajan
Strategi Pemasaran Wisata Religi Situs Liyangan Sebagai Upaya Peningkatan Jumlah Kunjungan Wisatawan Di Kabupaten Temanggung,"Situs Liyangan, wisata religi, potensi wisata, strategi pemasaran, analisis SWOT",Kabupaten Temanggung
Strategi Komunikasi Persaudaraan Setia Hati Terate Dalam Meningkatkan Solidaritas Di Ranting Wonogiri,"Strategi Komunikasi, Solidaritas, Persaudaraan Setia Hati Terate",
Upaya Meningkatkan Penguasaan Kosakata Bahasa Inggris Melalui Penggunaan Media Kartu Gambar Pada Siswa Kelas 5 SDN 1 Wonogiri,"Kosakata, Bahasa Inggris, Kartu Gambar.",SDN 1 Wonogiri
Pengembangan Media Permainan Ular Tangga Berbantuan Flash Card Untuk Mengenal Kosakata Bahasa Inggris Siswa Kelas lll SD Negeri 3 Wonoboyo,"Pengembangan, Media Pembelajaran, Ular Tangga, Flashcard, Kosakata Bahasa Inggris.",SD Negeri 3 Wonoboyo
Pola Komunikasi Band Fstvlst Dalam Membawa Konsep Kesetaraan Gender,"Underground, Kesetaraan, Pola Komunikasi, Dara Setara",
Komunikasi Nonverbal Guru Terhadap Siswa Berkebutuhan Khusus Autis Di Sekolah Luar Biasa Abc Giri Wiyata Dharma Wonogiri,"Non Verbal, Guru, Siswa Autis, Interaksi.",
Dampak pola komunikasi interpersonal dalam keluarga bagi perkembangan anak usia 10-15 tahun di desa kunir,"pola komunikasi, perkembangan anak, komunikasi interpersonal, keluarga.",
Makna Spiritual Tradisi Tedak Sithen Dalam Ajaran Agama Buddha Pada Masyarakat Dusun Manguntosari Desa Kalimanggis,"Tedhak Siten, makna spiritual, agama buddha",
Efektivitas Media Puzzel Dalam Memfasilitasi Pembelajaran Membaca Awal Pada Siswa Kelas 2 Di Sd Negeri 7 Wonogiri,"media, puzzle, membaca awal, efektivitas pembelajaran",Sd Negeri 7 Wonogiri
Analisis Peran Guru Pendidikan Agama Buddha dalam Menanamkan Sila pada Siswa Kelas 5 di SD Negeri Giling 03 Kecamatan Gunung Wungkal Kabupaten Pati,"Peran, guru, Agama Buddha, Sila, Siswa.",SD Negeri Giling 03 Kecamatan Gunung Wungkal Kabupaten Pati
Hubungan Antara Kemampuan Berpikir Kritis Terhadap Hasil Belajar Bahasa Inggris Siswa (Studi pada Siswa Kelas IV SD Negeri 7 Wonogiri),"Kemampuan berpikir kritis, hasil belajar, Bahasa Inggris, siswa SD",
Strategi Duta Wisata dalam Mempromosikan Wisata Religi di Wonogiri,"Duta Wisata, Strategi Promosi, Wisata Religi, Wonogiri",
Representasi Jati Diri Tokoh Riley dalam Film Animasi Inside Out 2 (Analisis Semiotika Roland Barthes),"representasi, jati diri, semiotika Roland Barthes, film animasi, inside out 2",
Tradisi Meroah dalam Pandangan Agama Buddha (Studi Kasus di Dusun Lonang Kecamatan Gangga Kabupaten Lombok Utara),"Tradisi Meroah, Pandangan Agama Buddha.",Dusun Lonang Kecamatan Gangga Kabupaten Lombok Utara
Pengembangan Edugame Berbasis Quizizz pada Materi Organ Pernapasan Manusia untuk Siswa Kelas V Sekolah Dasar,"Edugame, Quizizz, Media Interaktif",
Penerapan Media Hologram 3d Pada Pembelajaran Bahasa Inggris Di Kelas 5 Sd Negeri 1 Wonogiri,"Hologram 3D, Pembelajaran, Bahasa Inggris, Kelas 5, Communicative Language Teaching (CLT)",Sd Negeri 1 Wonogiri
"Komparasi kemampuan komunikasi matematis siswa SD kelas IV yang menggunakan model pembelajaran think, talk,write (TTW) dan konvensional","Model Think, Talk, Write (TTW), Model Konvensional, Komunikasi
Matematis",
Analisis Fasilitas Untuk Menunjang Kualitas Pembelajaran Pada SD Negeri 1 Pelem,"Fasilitas menunjang, Kualitas Pembelajaran, SD Negeri 1 Pelem, Teknik purposive sampling",SD Negeri 1 Pelem
